coefficient_name,value,constrain
coef_escort_mode_choice_logsum,1.173173034,F
coef_escort_distance_to_destination_duration_less_than_30_minutes,-0.335017673,F
coef_escort_distance_to_destination_duration_greater_than_30_minutes,0.005298165,F
coef_escort_fulltime_worker_departure_after_8_am_linear,-0.037980109,F
coef_escort_fulltime_worker_departure_after_3_am_linear,0.163254125,F
coef_escort_fulltime_worker_duration_less_than_30_minutes,-0.275077482,F
coef_escort_fulltime_worker_duration_greater_than_30_minutes,0.051530545,F
coef_escort_university_student_duration_less_than_30_minutes,-0.426802718,F
coef_escort_non_driving_age_student_duration_greater_than_30_minutes,0.240582361,F
coef_escort_driving_age_student_duration_less_than_30_minutes,-0.554146191,F
coef_escort_driving_age_student_duration_greater_than_30_minutes,0.299387708,F
coef_escort_pre_school_kid_duration_greater_than_30_minutes,0.195482563,F
coef_escort_med_high_income_duration_greater_than_30_minutes,-0.029281467,F
coef_escort_households_with_no_kids_departure_before_7_30_am,0.589083327,F
coef_escort_households_with_no_kids_departure_after_8_00_am,0.086690827,F
coef_escort_households_with_no_kids_departure_before_2_30_pm,0.477582648,F
coef_escort_households_with_no_kids_departure_after_3_00_pm,-0.204065502,F
coef_escort_households_with_no_kids_arrival_before_8_am,-0.360039254,F
coef_escort_households_with_no_kids_arrival_after_8_30_am,0.091614107,F
coef_escort_households_with_no_kids_arrival_before_3_pm,0.432854268,F
coef_escort_households_with_no_kids_arrival_after_3_30_pm,0.131037275,F
coef_escort_pre_school_child_in_hh_with_mandatory_tour_departure_after_8_am,0.109700265,F
coef_escort_pre_school_child_in_hh_with_mandatory_tour_departure_after_3_pm,-0.224568648,F
coef_escort_pre_school_child_in_hh_with_mandatory_tour_arrival_before_8_am,-0.357416434,F
coef_escort_pre_school_child_in_hh_with_mandatory_tour_arrival_before_3_pm,0.629285298,F
coef_escort_driving_age_school_child_in_hh_with_mandatory_tour_departure_after_8_am,0.039005148,F
coef_escort_driving_age_school_child_in_hh_with_mandatory_tour_arrival_after_8_30_am,-0.06556611,F
coef_escort_driving_age_school_child_in_hh_with_mandatory_tour_arrival_after_3_30_pm,0.117680977,F
coef_escort_number_of_autos_greater_than_number_of_adults_duration_greater_than_30_minutes,-0.057322708,F
coef_escort_number_of_individual_tours_duration_greater_than_30_minutes,-0.062899692,F
coef_escort_number_of_joint_tours_duration_greater_than_30_minutes,-0.048533895,F
coef_escort_departure_constant_shift_for_every_30_minutes_before_6_30_am_linear,-1.469240002,F
coef_escort_departure_constant_before_7_am,-2.070292862,F
coef_escort_departure_constant_7_am_to_7_30_am,-0.642734296,F
coef_escort_departure_constant_7_30_am_to_8_am,0,T
coef_escort_departure_constant_8_am_to_8_30_am,-0.214617667,F
coef_escort_departure_constant_8_30_am_to_9_am,-0.147266606,F
coef_escort_departure_constant_after_9_am,-1.356686422,F
coef_escort_departure_constant_1_30_pm_to_2_pm,0.368092381,F
coef_escort_departure_constant_2_pm_to_2_30_pm,1.166803383,F
coef_escort_departure_constant_2_30_pm_to_3_pm,1.28466083,F
coef_escort_departure_constant_3_pm_to_3_30_pm,0.581891245,F
coef_escort_departure_constant_after_3_30_pm,0.834510243,F
coef_escort_departure_constant_shift_for_every_30_minutes_after_9_30_am_linear,0.175257649,F
coef_escort_departure_constant_shift_for_every_30_minutes_after_4_pm_linear,-0.019161202,F
coef_escort_arrival_constant_shift_for_every_30_minutes_before_6_30_am_linear,0.44978138,F
coef_escort_arrival_constant_before_7_am,0.549584585,F
coef_escort_arrival_constant_7_am_to_7_30_am,0.488181278,F
coef_escort_arrival_constant_7_30_am_to_8_am,0.236447651,F
coef_escort_arrival_constant_8_am_to_8_30_am,0,T
coef_escort_arrival_constant_8_30_am_to_9_am,-0.683756801,F
coef_escort_arrival_constant_after_9_am,-1.428888485,F
